# 「每日交易建议」结算盈亏台账（recommendation ledger）
# 说明：记录的是**建议**的结算盈亏，不是实际成交记录。金额 = 建议仓位，成交与否未知。
# 口径：每条腿取「首推价 + 建议仓位」；同腿后续的加仓 / 改价不重复计入（避免同一论点重复计数）。
#       若某腿在论点翻转后被重新推荐（如 9/11 的 NO32），仍算同一腿，只记首推。
# 档位：N°C = [N.0, N+1.0)。YES N 赢 ⟺ 结算 = N；NO N 赢 ⟺ 结算 ≠ N。
# 字段：settle_date 结算日 | leg 腿名 | side YES/NO | bucket 档位 | entry_price 首推可执行价
#       cost_usd 建议投入(USDC) | shares 由 cost÷price 反推 | settle_bucket 实际结算档
#       settle_status confirmed/provisional | outcome win/loss/open | note
# 以 # 开头的行会被脚本忽略。
# 未纳入台账：2026-09-07 / 09-08（skill 迭代期，只有单腿试探，未留结构化建议流水）
# 未纳入台账：2026-09-10（结算日全天多次换腿：YES31 / NO32 / YES30 反复加仓 + NO31 卖出，建议流水未结构化留存，无法可靠还原）
# 2026-09-12 更正：14:57 首次回填时全天快照最高仅 32.6 → 记为 32；当晚按全天快照最高 33.1（15:30 全港 33.0–33.5）
#                    与市场 33 档 YES 0.998 更正为 33，故 NO33 由赢转输、NO32 由输转赢。
#                    官方 Daily Extract 已于 2026-09-14 11:26 复核：09-11=32.6→32、09-12=33.1→33、09-13=31.7→31，三日 settlement 全部 confirmed（原标 provisional 已解除）。
#                    注：rec_pnl.py --settle 落盘时把 settle_status 固定写 confirmed，故先跑 --settle 回填档位，再手工改回 provisional。
# 2026-09-14 结算：官方 Daily Extract（21:35 复核 XML 仅到 09-13）尚未出 09-14 → settle_status=provisional。
#                    判定依据：结算站日内序列（scripts/data/obs_1min_log.json）当日最高 28.6 @14:10 → 28 档；
#                    收盘后市场 28 档 YES bid/ask = 0.998/0.999（≥0.95 视为已定档），其余档 NO 0.999。
settle_date,leg,side,bucket,entry_price,cost_usd,settle_bucket,settle_status,outcome,note
2026-09-09,NO31,NO,31,0.4700,277.30,32,confirmed,win,九月九日结算 32°C；唯一赢腿 +96%，覆盖其余四条亏损
2026-09-09,YES30,YES,30,0.1921,155.00,32,confirmed,loss,同腿四次加仓 0.370→0.060 的均价口径（无单笔止损线）
2026-09-09,NO32,NO,32,0.6500,130.00,32,confirmed,loss,只在上望 33 档时赢
2026-09-09,YES29,YES,29,,11.00,32,confirmed,loss,份数未留存；输腿派息恒为 0，不影响汇总
2026-09-09,YES33,YES,33,,4.00,32,confirmed,loss,同上
2026-09-11,NO30,NO,30,0.7900,20.00,32,confirmed,win,
2026-09-11,NO31,NO,31,0.5400,60.00,32,confirmed,win,当日最强腿 +85% ROI，落在 09:24–11:05 出仓窗口内
2026-09-11,YES32,YES,32,0.3500,19.00,32,confirmed,win,
2026-09-11,NO32,NO,32,0.0400,28.00,32,confirmed,loss,13:50 判「市场把 32 档高估」；20 分钟后站点实测 32.0 证伪
2026-09-11,YES33,YES,33,0.0400,29.00,32,confirmed,loss,上望 33 档失败；两笔亏损都是边界已触及后仍赌右尾
2026-09-12,YES31,YES,31,0.2800,15.00,33,confirmed,loss,10:15 买「31 档便宜」；10:38 市场砸盘后浮亏 −61%；同日 13:50 该腿另以 0.010 加仓 $54（按「同腿不重复计入」口径未计入 —— 若计入，当日由 +$24.22 翻为 −$29.78）
2026-09-12,NO33,NO,33,0.7000,103.00,33,confirmed,loss,更正后：15:30 全港升至 33.0–33.5、本站单点 33.1 → 结算 33°C，本腿由赢转输 −$103，当日最大亏损
2026-09-12,NO32,NO,32,0.3600,80.00,33,confirmed,win,更正后：12:05 主腿一度在 13:50 站点 32.6 后判死，15:30 冲到 33.1 反败为胜 +$142.2；同一论点另于 13:06 加挂 0.430（$29）未计入
2026-09-13,YES28,YES,28,0.0600,6.30,31,confirmed,loss,结算 31°C（快照峰值 31.5 @13:50 与 14:50 各一次；官方 Daily Extract 09-13=31.7 已确认）；10:30 出仓窗口内唯一正 EV 腿（公允 7.2% vs YES ask 0.06，EV +20%，35%Kelly $6.3/105 份=0.45% 本金）；押注站点封顶在 28.6–29.0；属「押注封顶」模式（台账内 3 次全负），金额刻意压到象征级
2026-09-14,NO30,NO,30,0.6480,150.00,28,provisional,win,11:05 首推（出仓窗口内）；当日站点被雷暴外流压至 27.0 一线、已观测最高仅 28.7；限价 ≤0.66
2026-09-14,YES28,YES,28,0.2055,30.00,28,provisional,win,11:05 首推卫星仓；押站点封顶在 28.9 以下 —— 属「押注封顶」家族（台账内 4 战 0 胜）故仅 0
2026-09-14,NO31,NO,31,0.7880,100.00,28,provisional,win,11:05 首推；赢条件是结算 ≠ 31°C（即最高 < 31 或 ≥ 32）
2026-09-15,YES30,YES,30,0.2900,86.40,,,open,09:15 出仓窗口内首推（可成交量上限 298 份）；公允 0.312(sd.95)-0.357(脚本 sd.76)，EV +12~+23%；仅成交 17/298 份 —— 26 分钟后市场把 30 档从 0.270 抬到 0.330，一次性报价失效
2026-09-15,NO31,NO,31,0.7600,100.00,,,open,10:00 首推（当时唯一 5/6 情景为正的腿，混合 +6.8%，但 C 情景 L=+0.60 时 -18.4%）；赢条件 = 结算 != 31 度；11:00 收缩口径复核后 EV 从 +25.9% 降到 +10.4%，仓位提案降为 $60/79 份
2026-09-15,YES29,YES,29,0.3100,75.00,,,open,11:00 首推（本轮新增）；公允 34.9%（收缩 L=-0.22，75%模型+25%市场），EV +12.6%；赢条件 = 结算 29 度（最高落在 [29.0,30.0)）；与 NO31 同向（都靠 L 为负），非独立腿
2026-09-15,YES29,YES,29,0.1300,15.00,,,open,12:11 本轮 EV 最高（+88%）；公允 29.3%（L=+0.90）× 市场 10.2%；赢条件 = 日最高落在 [29.0,30.0)；与「卖 NO29 @0.870」是同一侧流动性的同一笔，二者只做其一；该价位深度仅 48 份
2026-09-15,NO29,NO,29,0.9350,-116.60,,,open,12:33 反向腿：卖出 124 份 NO29 @>=0.935（回收 116.60，锁 +34% 浮盈）。公允 74.8-81.0%（29 档 19.0% 单点 / 25.2% 积分），卖价比公允高 13-19pt；等价于「买 YES29 @0.060」的同一侧流动性
2026-09-15,YES30,YES,30,0.3600,29.20,,,open,12:33 本轮唯一便宜的做多腿：81 份 @<=0.360。公允 46.4-50.2%（峰值 30.44-30.61），EV +29~+39%；与 NO31 同向（都赌站点不过 31），非独立腿
2026-09-15,NO29,NO,29,0.9950,-171.10,,,open,13:20 【确定收益兑现】卖出 172 份 NO29 @>=0.995（回收 171.10）。13:00 站点已冲高 31.4 并回落 30.2，日最高>=31.4 已锁定 -> 29 档必然归零，NO29 必胜。代价仅 0.1%（约 $0.2），换来 171 现金用于下面两条挂单。本轮替代 12:33 的 124 份版本
2026-09-15,NO31,NO,31,0.2000,80.00,,,open,13:20 【挂单，不追价】买 400 份 NO31 @<=0.200。公允 P(结算!=31)=27.4%（三路收敛 25.8%/27.1%/29-31%），EV +35%。13:14 现价 NO31 ask 0.440（-35.5%）故只能挂价差里。注意：本条加深 31 档集中度，金额硬上限 $80
2026-09-15,YES32,YES,32,0.1800,54.00,,,open,13:20 【挂单，不追价】买 300 份 YES32 @<=0.180。公允 P(32 档)=24.4%，EV +36%。13:14 现价 YES32 ask 0.450（-43.4%）故只能挂价差里。深度上限 300 份
2026-09-15,NO31,NO,31,0.2200,39.60,,,open,13:45 【唯一正 EV，且幅度有限】买 180 份 NO31 @<=0.220（13:45 真实 ask）。公允 24.5%（保守中值 22%），EV +11% ~ 0%。35%Kelly 上限 $40。⚠ 与已持 NO31 448 份同向，加深 31 档集中度；公允区间 16-26% 横跨现价，不做也不算错。撤回 13:20 那条 400 份版本
2026-09-15,YES33,YES,33,0.0090,10.80,,,open,13:45 【可选，纯尾部彩票】买 1200 份 YES33 @0.009。公允 2.3%（VHHH 条件实测上限仅 1.7%，真实值可能只有 1%）→ EV +10% ~ +155%。绝对金额 10 美元量级，不影响 PnL，只在想要尾部彩票时做
